TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,PROPERTIE_NAME,PROPERTIE_VALUE
localhost/testdb,public,レジ,schemaname,public
localhost/testdb,public,レジ,tablename,レジ
localhost/testdb,public,レジ,tableowner,axizuser
localhost/testdb,public,レジ,tablespace,
localhost/testdb,public,レジ,hasindexes,True
localhost/testdb,public,レジ,hasrules,False
localhost/testdb,public,レジ,hastriggers,True
localhost/testdb,public,レジ,rowsecurity,False
localhost/testdb,public,伝票,schemaname,public
localhost/testdb,public,伝票,tablename,伝票
localhost/testdb,public,伝票,tableowner,axizuser
localhost/testdb,public,伝票,tablespace,
localhost/testdb,public,伝票,hasindexes,True
localhost/testdb,public,伝票,hasrules,False
localhost/testdb,public,伝票,hastriggers,True
localhost/testdb,public,伝票,rowsecurity,False
localhost/testdb,public,商品,schemaname,public
localhost/testdb,public,商品,tablename,商品
localhost/testdb,public,商品,tableowner,axizuser
localhost/testdb,public,商品,tablespace,
localhost/testdb,public,商品,hasindexes,True
localhost/testdb,public,商品,hasrules,False
localhost/testdb,public,商品,hastriggers,True
localhost/testdb,public,商品,rowsecurity,False
localhost/testdb,public,商品項目,schemaname,public
localhost/testdb,public,商品項目,tablename,商品項目
localhost/testdb,public,商品項目,tableowner,axizuser
localhost/testdb,public,商品項目,tablespace,
localhost/testdb,public,商品項目,hasindexes,True
localhost/testdb,public,商品項目,hasrules,False
localhost/testdb,public,商品項目,hastriggers,True
localhost/testdb,public,商品項目,rowsecurity,False
localhost/testdb,public,店舗,schemaname,public
localhost/testdb,public,店舗,tablename,店舗
localhost/testdb,public,店舗,tableowner,axizuser
localhost/testdb,public,店舗,tablespace,
localhost/testdb,public,店舗,hasindexes,True
localhost/testdb,public,店舗,hasrules,False
localhost/testdb,public,店舗,hastriggers,True
localhost/testdb,public,店舗,rowsecurity,False
localhost/testdb,public,従業員,schemaname,public
localhost/testdb,public,従業員,tablename,従業員
localhost/testdb,public,従業員,tableowner,axizuser
localhost/testdb,public,従業員,tablespace,
localhost/testdb,public,従業員,hasindexes,True
localhost/testdb,public,従業員,hasrules,False
localhost/testdb,public,従業員,hastriggers,True
localhost/testdb,public,従業員,rowsecurity,False
localhost/testdb,public,支払方法,schemaname,public
localhost/testdb,public,支払方法,tablename,支払方法
localhost/testdb,public,支払方法,tableowner,axizuser
localhost/testdb,public,支払方法,tablespace,
localhost/testdb,public,支払方法,hasindexes,True
localhost/testdb,public,支払方法,hasrules,False
localhost/testdb,public,支払方法,hastriggers,True
localhost/testdb,public,支払方法,rowsecurity,False
localhost/testdb,public,税率,schemaname,public
localhost/testdb,public,税率,tablename,税率
localhost/testdb,public,税率,tableowner,axizuser
localhost/testdb,public,税率,tablespace,
localhost/testdb,public,税率,hasindexes,True
localhost/testdb,public,税率,hasrules,False
localhost/testdb,public,税率,hastriggers,False
localhost/testdb,public,税率,rowsecurity,False
localhost/testdb,public,購入物,schemaname,public
localhost/testdb,public,購入物,tablename,購入物
localhost/testdb,public,購入物,tableowner,axizuser
localhost/testdb,public,購入物,tablespace,
localhost/testdb,public,購入物,hasindexes,True
localhost/testdb,public,購入物,hasrules,False
localhost/testdb,public,購入物,hastriggers,True
localhost/testdb,public,購入物,rowsecurity,False
